stream_id,gesture_order,gesture,start_sample,end_sample
43,1,good-afternoon_3.csv,319,563
43,2,good-morning_9.csv,593,888
44,0,i-love-you_14.csv,24,344
44,1,hello_10.csv,357,577
44,2,hello_2.csv,590,819
44,3,i-love-you_25.csv,832,1057
45,0,good-morning_20.csv,28,308
45,1,i-am-fine_3.csv,323,541
45,2,thank-you_2.csv,556,768
45,3,i-am-fine_20.csv,783,967
46,0,good-afternoon_11.csv,28,251
46,1,i-love-you_18.csv,266,555
46,2,good-morning_14.csv,570,882
47,0,i-love-you_4.csv,76,390
47,1,excuse-me_13.csv,429,623
47,2,hello_29.csv,662,832
47,3,please_11.csv,871,1098
48,0,i-am-fine_26.csv,48,237
48,1,please_7.csv,262,490
48,2,thank-you_24.csv,515,663
49,0,please_27.csv,30,183
49,1,thank-you_23.csv,199,348
49,2,please_9.csv,364,617
50,0,please_21.csv,46,330
50,1,good-afternoon_1.csv,354,576
50,2,i-love-you_3.csv,600,865
51,0,please_1.csv,80,325
51,1,thank-you_11.csv,366,630
51,2,good-afternoon_2.csv,671,926
52,0,i-love-you_7.csv,72,343
52,1,i-am-fine_23.csv,380,578
52,2,thank-you_1.csv,615,854
52,3,good-morning_30.csv,891,1051
53,0,good-morning_9.csv,24,319
53,1,good-afternoon_9.csv,332,529
53,2,hello_14.csv,542,703
53,3,i-love-you_25.csv,716,941
54,0,good-morning_9.csv,44,339
54,1,please_40.csv,362,573
54,2,good-morning_15.csv,596,871
55,0,please_30.csv,74,256
55,1,please_2.csv,294,533
55,2,hello_28.csv,571,737
55,3,i-am-fine_17.csv,775,905
56,0,good-morning_4.csv,44,253
56,1,thank-you_22.csv,276,448
56,2,good-morning_22.csv,471,755
57,0,good-morning_30.csv,44,204
57,1,thank-you_11.csv,227,491
57,2,i-love-you_16.csv,514,795
57,3,i-love-you_11.csv,818,1109
58,0,good-morning_18.csv,46,328
58,1,i-love-you_30.csv,352,574
58,2,please_18.csv,598,905
59,0,please_33.csv,42,223
59,1,i-love-you_17.csv,245,557
59,2,i-am-fine_15.csv,579,772
59,3,good-morning_18.csv,794,1076
60,0,please_24.csv,74,257
60,1,i-am-fine_4.csv,295,561
60,2,thank-you_23.csv,599,748
60,3,good-afternoon_3.csv,786,1030
61,0,i-am-fine_30.csv,20,202
61,1,thank-you_16.csv,213,397
61,2,i-am-fine_14.csv,408,574
61,3,good-morning_23.csv,585,776
62,0,good-morning_4.csv,50,259
62,1,good-morning_4.csv,285,494
62,2,please_15.csv,520,800
62,3,good-afternoon_2.csv,826,1081
63,0,please_35.csv,52,239
63,1,thank-you_14.csv,266,426
63,2,hello_19.csv,453,622
64,0,thank-you_7.csv,44,291
64,1,good-afternoon_6.csv,314,540
64,2,i-am-fine_27.csv,563,744
65,0,hello_6.csv,46,273
65,1,hello_29.csv,297,467
65,2,good-morning_3.csv,491,705
65,3,hello_11.csv,729,947
66,0,hello_1.csv,22,252
66,1,good-afternoon_17.csv,264,535
66,2,thank-you_21.csv,547,703
66,3,i-love-you_8.csv,715,985
67,0,please_22.csv,58,305
67,1,hello_28.csv,335,501
67,2,please_20.csv,531,804
68,0,thank-you_25.csv,48,190
68,1,i-love-you_17.csv,215,527
68,2,good-morning_3.csv,552,766
69,0,thank-you_5.csv,72,314
69,1,thank-you_25.csv,351,493
69,2,hello_2.csv,530,759
69,3,hello_24.csv,796,976
70,0,good-afternoon_10.csv,58,285
70,1,hello_1.csv,315,545
70,2,i-am-fine_19.csv,575,737
71,0,thank-you_4.csv,50,279
71,1,please_15.csv,305,585
71,2,i-love-you_1.csv,611,911
72,0,hello_18.csv,66,228
72,1,good-afternoon_8.csv,262,471
72,2,please_29.csv,505,709
72,3,excuse-me_5.csv,743,990
73,0,please_27.csv,26,179
73,1,i-love-you_5.csv,193,413
73,2,please_35.csv,427,614
74,0,hello_15.csv,56,239
74,1,please_6.csv,268,522
74,2,hello_7.csv,551,780
74,3,i-am-fine_17.csv,809,939
75,0,thank-you_22.csv,68,240
75,1,excuse-me_12.csv,275,465
75,2,thank-you_10.csv,500,751
75,3,hello_16.csv,786,985
76,0,thank-you_5.csv,82,324
76,1,hello_27.csv,366,542
76,2,excuse-me_13.csv,584,778
77,0,thank-you_11.csv,20,284
77,1,please_35.csv,295,482
77,2,i-am-fine_6.csv,493,747
78,0,good-afternoon_2.csv,78,333
78,1,i-am-fine_22.csv,373,555
78,2,good-afternoon_1.csv,595,817
79,0,i-love-you_23.csv,86,312
79,1,good-afternoon_20.csv,356,609
79,2,hello_16.csv,653,852
80,0,please_32.csv,28,207
80,1,please_12.csv,222,499
80,2,good-morning_24.csv,514,703
80,3,please_40.csv,718,929
81,0,thank-you_17.csv,44,186
81,1,please_18.csv,209,516
81,2,hello_5.csv,539,740
81,3,i-am-fine_10.csv,763,982
82,0,thank-you_10.csv,86,337
82,1,thank-you_16.csv,381,565
82,2,i-am-fine_23.csv,609,807
83,0,please_7.csv,24,252
83,1,please_25.csv,265,473
83,2,excuse-me_5.csv,486,733
83,3,please_32.csv,746,925
84,0,thank-you_7.csv,66,313
84,1,hello_27.csv,347,523
84,2,i-love-you_19.csv,557,827
84,3,good-morning_11.csv,861,1068
85,0,i-love-you_26.csv,26,255
85,1,hello_2.csv,269,498
85,2,please_28.csv,512,707
86,0,good-afternoon_14.csv,56,308
86,1,please_36.csv,337,524
86,2,please_4.csv,553,822
86,3,please_5.csv,851,1107
87,0,thank-you_6.csv,40,270
87,1,please_20.csv,291,564
87,2,i-love-you_17.csv,585,897
87,3,good-afternoon_1.csv,918,1140
88,0,i-love-you_26.csv,50,279
88,1,i-am-fine_29.csv,305,473
88,2,please_38.csv,499,696
89,0,thank-you_8.csv,52,270
89,1,i-love-you_1.csv,297,597
89,2,hello_18.csv,624,786
89,3,please_4.csv,813,1082
90,0,good-morning_29.csv,78,250
90,1,hello_18.csv,290,452
90,2,excuse-me_3.csv,492,710
90,3,good-morning_7.csv,750,972
91,0,i-love-you_8.csv,76,346
91,1,please_33.csv,385,566
91,2,good-afternoon_8.csv,605,814
92,0,i-love-you_15.csv,60,324
92,1,i-am-fine_5.csv,355,586
92,2,please_8.csv,617,883
93,0,please_34.csv,82,256
93,1,good-morning_1.csv,298,536
93,2,please_12.csv,578,855
93,3,hello_29.csv,897,1067
94,0,please_18.csv,42,349
94,1,thank-you_8.csv,371,589
94,2,good-morning_7.csv,611,833
94,3,hello_3.csv,855,1116
95,0,thank-you_13.csv,54,218
95,1,please_18.csv,246,553
95,2,please_34.csv,581,755
95,3,please_27.csv,783,936
96,0,i-love-you_10.csv,74,382
96,1,i-love-you_21.csv,420,700
96,2,good-afternoon_9.csv,738,935
96,3,please_4.csv,973,1242
97,0,hello_24.csv,72,252
97,1,hello_24.csv,289,469
97,2,hello_5.csv,506,707
97,3,good-afternoon_19.csv,744,1000
98,0,thank-you_30.csv,56,217
98,1,thank-you_19.csv,246,392
98,2,hello_2.csv,421,650
98,3,good-morning_17.csv,679,990
99,0,please_6.csv,64,318
99,1,i-am-fine_23.csv,351,549
99,2,please_14.csv,582,852
99,3,please_27.csv,885,1038
