window_id,has_start,start_idx,start_norm,has_end,end_idx,end_norm
54,1,143,0.6441441441441441,1,131,0.5900900900900901
55,1,123,0.5540540540540541,1,111,0.5
56,1,103,0.46396396396396394,1,91,0.4099099099099099
57,1,83,0.3738738738738739,1,71,0.31981981981981983
58,1,63,0.28378378378378377,1,51,0.22972972972972974
59,1,43,0.19369369369369369,1,31,0.13963963963963963
60,1,23,0.1036036036036036,1,11,0.04954954954954955
61,1,3,0.013513513513513514,0,-1,-1.0
62,1,221,0.9954954954954955,1,209,0.9414414414414415
63,1,201,0.9054054054054054,1,189,0.8513513513513513
64,1,181,0.8153153153153153,1,169,0.7612612612612613
65,1,161,0.7252252252252253,1,149,0.6711711711711712
66,1,141,0.6351351351351351,1,129,0.581081081081081
67,1,121,0.545045045045045,1,109,0.49099099099099097
68,1,101,0.45495495495495497,1,89,0.4009009009009009
69,1,81,0.36486486486486486,1,69,0.3108108108108108
70,1,61,0.2747747747747748,1,49,0.22072072072072071
71,1,41,0.18468468468468469,1,29,0.13063063063063063
72,1,48,0.21621621621621623,0,-1,-1.0
73,1,28,0.12612612612612611,0,-1,-1.0
74,1,8,0.036036036036036036,0,-1,-1.0
75,0,-1,-1.0,0,-1,-1.0
76,0,-1,-1.0,0,-1,-1.0
77,0,-1,-1.0,1,218,0.9819819819819819
78,0,-1,-1.0,1,198,0.8918918918918919
79,1,203,0.9144144144144144,1,178,0.8018018018018018
80,1,183,0.8243243243243243,1,158,0.7117117117117117
81,1,163,0.7342342342342343,1,138,0.6216216216216216
82,1,143,0.6441441441441441,1,118,0.5315315315315315
83,1,123,0.5540540540540541,1,98,0.44144144144144143
84,1,103,0.46396396396396394,1,78,0.35135135135135137
85,1,83,0.3738738738738739,1,58,0.26126126126126126
86,1,63,0.28378378378378377,1,38,0.17117117117117117
87,1,43,0.19369369369369369,1,18,0.08108108108108109
88,1,23,0.1036036036036036,0,-1,-1.0
89,1,3,0.013513513513513514,0,-1,-1.0
90,0,-1,-1.0,0,-1,-1.0
91,0,-1,-1.0,0,-1,-1.0
92,0,-1,-1.0,1,209,0.9414414414414415
93,1,214,0.963963963963964,1,189,0.8513513513513513
94,1,194,0.8738738738738738,1,169,0.7612612612612613
95,1,174,0.7837837837837838,1,149,0.6711711711711712
96,1,154,0.6936936936936937,1,129,0.581081081081081
97,1,134,0.6036036036036037,1,109,0.49099099099099097
98,1,114,0.5135135135135135,1,89,0.4009009009009009
99,1,94,0.42342342342342343,1,69,0.3108108108108108
100,1,74,0.3333333333333333,1,49,0.22072072072072071
101,1,54,0.24324324324324326,1,29,0.13063063063063063
102,1,34,0.15315315315315314,1,9,0.04054054054054054
103,1,14,0.06306306306306306,0,-1,-1.0
104,0,-1,-1.0,0,-1,-1.0
105,0,-1,-1.0,0,-1,-1.0
106,0,-1,-1.0,1,209,0.9414414414414415
107,1,84,0.3783783783783784,0,-1,-1.0
108,1,64,0.2882882882882883,0,-1,-1.0
109,1,44,0.1981981981981982,0,-1,-1.0
110,1,24,0.10810810810810811,1,205,0.9234234234234234
111,1,4,0.018018018018018018,1,185,0.8333333333333334
112,1,208,0.9369369369369369,1,165,0.7432432432432432
113,1,188,0.8468468468468469,1,145,0.6531531531531531
114,1,168,0.7567567567567568,1,125,0.5630630630630631
115,1,148,0.6666666666666666,1,105,0.47297297297297297
116,1,128,0.5765765765765766,1,85,0.38288288288288286
117,1,108,0.4864864864864865,1,65,0.2927927927927928
118,1,88,0.3963963963963964,1,45,0.20270270270270271
119,1,68,0.3063063063063063,1,25,0.11261261261261261
120,1,48,0.21621621621621623,1,5,0.02252252252252252
121,1,28,0.12612612612612611,0,-1,-1.0
122,1,8,0.036036036036036036,0,-1,-1.0
123,0,-1,-1.0,0,-1,-1.0
124,0,-1,-1.0,0,-1,-1.0
125,0,-1,-1.0,0,-1,-1.0
126,0,-1,-1.0,1,210,0.9459459459459459
127,0,-1,-1.0,1,190,0.8558558558558559
128,1,213,0.9594594594594594,1,170,0.7657657657657657
129,1,193,0.8693693693693694,1,150,0.6756756756756757
130,1,173,0.7792792792792793,1,130,0.5855855855855856
131,1,153,0.6891891891891891,1,110,0.4954954954954955
132,1,133,0.5990990990990991,1,90,0.40540540540540543
133,1,113,0.509009009009009,1,70,0.3153153153153153
134,1,93,0.4189189189189189,1,50,0.22522522522522523
135,1,73,0.32882882882882886,1,30,0.13513513513513514
136,1,53,0.23873873873873874,1,10,0.04504504504504504
137,1,33,0.14864864864864866,1,181,0.8153153153153153
138,1,13,0.05855855855855856,1,161,0.7252252252252253
139,1,184,0.8288288288288288,1,141,0.6351351351351351
140,1,164,0.7387387387387387,1,121,0.545045045045045
141,1,144,0.6486486486486487,1,101,0.45495495495495497
142,1,124,0.5585585585585585,1,81,0.36486486486486486
143,1,104,0.46846846846846846,1,61,0.2747747747747748
144,1,84,0.3783783783783784,1,41,0.18468468468468469
145,1,64,0.2882882882882883,1,21,0.0945945945945946
146,1,44,0.1981981981981982,1,1,0.0045045045045045045
147,1,24,0.10810810810810811,0,-1,-1.0
148,1,4,0.018018018018018018,0,-1,-1.0
149,0,-1,-1.0,0,-1,-1.0
150,0,-1,-1.0,0,-1,-1.0
151,0,-1,-1.0,1,208,0.9369369369369369
152,1,30,0.13513513513513514,0,-1,-1.0
153,1,10,0.04504504504504504,0,-1,-1.0
154,0,-1,-1.0,1,221,0.9954954954954955
155,1,217,0.9774774774774775,1,201,0.9054054054054054
156,1,197,0.8873873873873874,1,181,0.8153153153153153
157,1,177,0.7972972972972973,1,161,0.7252252252252253
158,1,157,0.7072072072072072,1,141,0.6351351351351351
159,1,137,0.6171171171171171,1,121,0.545045045045045
160,1,117,0.527027027027027,1,101,0.45495495495495497
161,1,97,0.4369369369369369,1,81,0.36486486486486486
162,1,77,0.34684684684684686,1,61,0.2747747747747748
163,1,57,0.25675675675675674,1,41,0.18468468468468469
164,1,37,0.16666666666666666,1,21,0.0945945945945946
165,1,17,0.07657657657657657,1,1,0.0045045045045045045
166,0,-1,-1.0,0,-1,-1.0
167,0,-1,-1.0,0,-1,-1.0
168,0,-1,-1.0,1,217,0.9774774774774775
169,1,213,0.9594594594594594,1,197,0.8873873873873874
170,1,193,0.8693693693693694,1,177,0.7972972972972973
171,1,173,0.7792792792792793,1,157,0.7072072072072072
172,1,153,0.6891891891891891,1,137,0.6171171171171171
173,1,133,0.5990990990990991,1,117,0.527027027027027
174,1,113,0.509009009009009,1,97,0.4369369369369369
175,1,93,0.4189189189189189,1,77,0.34684684684684686
176,1,73,0.32882882882882886,1,57,0.25675675675675674
177,1,53,0.23873873873873874,1,37,0.16666666666666666
178,1,33,0.14864864864864866,1,17,0.07657657657657657
179,1,13,0.05855855855855856,0,-1,-1.0
180,0,-1,-1.0,0,-1,-1.0
181,0,-1,-1.0,0,-1,-1.0
182,0,-1,-1.0,0,-1,-1.0
183,0,-1,-1.0,1,213,0.9594594594594594
184,1,66,0.2972972972972973,0,-1,-1.0
185,1,46,0.2072072072072072,0,-1,-1.0
186,1,26,0.11711711711711711,0,-1,-1.0
187,1,6,0.02702702702702703,1,220,0.990990990990991
188,0,-1,-1.0,1,200,0.9009009009009009
189,1,214,0.963963963963964,1,180,0.8108108108108109
190,1,194,0.8738738738738738,1,160,0.7207207207207207
191,1,174,0.7837837837837838,1,140,0.6306306306306306
192,1,154,0.6936936936936937,1,120,0.5405405405405406
193,1,134,0.6036036036036037,1,100,0.45045045045045046
194,1,114,0.5135135135135135,1,80,0.36036036036036034
195,1,94,0.42342342342342343,1,60,0.2702702702702703
196,1,74,0.3333333333333333,1,40,0.18018018018018017
197,1,54,0.24324324324324326,1,20,0.09009009009009009
198,1,34,0.15315315315315314,1,0,0.0
199,1,14,0.06306306306306306,0,-1,-1.0
200,0,-1,-1.0,0,-1,-1.0
201,0,-1,-1.0,0,-1,-1.0
202,0,-1,-1.0,0,-1,-1.0
203,0,-1,-1.0,0,-1,-1.0
204,0,-1,-1.0,0,-1,-1.0
205,0,-1,-1.0,1,213,0.9594594594594594
206,0,-1,-1.0,1,193,0.8693693693693694
207,1,207,0.9324324324324325,1,173,0.7792792792792793
208,1,187,0.8423423423423423,1,153,0.6891891891891891
209,1,167,0.7522522522522522,1,133,0.5990990990990991
210,1,147,0.6621621621621622,1,113,0.509009009009009
211,1,127,0.5720720720720721,1,93,0.4189189189189189
212,1,107,0.481981981981982,1,73,0.32882882882882886
213,1,87,0.3918918918918919,1,53,0.23873873873873874
214,1,67,0.30180180180180183,1,33,0.14864864864864866
215,1,47,0.21171171171171171,1,13,0.05855855855855856
216,1,27,0.12162162162162163,0,-1,-1.0
217,1,7,0.03153153153153153,0,-1,-1.0
218,0,-1,-1.0,0,-1,-1.0
219,0,-1,-1.0,1,209,0.9414414414414415
220,0,-1,-1.0,1,189,0.8513513513513513
221,1,20,0.09009009009009009,1,166,0.7477477477477478
222,1,0,0.0,1,146,0.6576576576576577
223,1,137,0.6171171171171171,1,126,0.5675675675675675
224,1,117,0.527027027027027,1,106,0.4774774774774775
225,1,97,0.4369369369369369,1,86,0.38738738738738737
226,1,77,0.34684684684684686,1,66,0.2972972972972973
227,1,57,0.25675675675675674,1,46,0.2072072072072072
228,1,37,0.16666666666666666,1,26,0.11711711711711711
229,1,17,0.07657657657657657,1,6,0.02702702702702703
230,1,189,0.8513513513513513,1,178,0.8018018018018018
231,1,169,0.7612612612612613,1,158,0.7117117117117117
232,1,149,0.6711711711711712,1,138,0.6216216216216216
233,1,129,0.581081081081081,1,118,0.5315315315315315
234,1,109,0.49099099099099097,1,98,0.44144144144144143
235,1,89,0.4009009009009009,1,78,0.35135135135135137
236,1,69,0.3108108108108108,1,58,0.26126126126126126
237,1,49,0.22072072072072071,1,38,0.17117117117117117
238,1,29,0.13063063063063063,1,18,0.08108108108108109
239,1,9,0.04054054054054054,0,-1,-1.0
240,0,-1,-1.0,0,-1,-1.0
241,0,-1,-1.0,1,208,0.9369369369369369
242,0,-1,-1.0,1,188,0.8468468468468469
243,1,70,0.3153153153153153,0,-1,-1.0
244,1,50,0.22522522522522523,0,-1,-1.0
245,1,30,0.13513513513513514,0,-1,-1.0
246,1,10,0.04504504504504504,0,-1,-1.0
247,0,-1,-1.0,0,-1,-1.0
248,0,-1,-1.0,1,208,0.9369369369369369
249,0,-1,-1.0,1,188,0.8468468468468469
250,1,204,0.918918918918919,1,168,0.7567567567567568
251,1,184,0.8288288288288288,1,148,0.6666666666666666
252,1,164,0.7387387387387387,1,128,0.5765765765765766
253,1,144,0.6486486486486487,1,108,0.4864864864864865
254,1,124,0.5585585585585585,1,88,0.3963963963963964
255,1,104,0.46846846846846846,1,68,0.3063063063063063
256,1,84,0.3783783783783784,1,48,0.21621621621621623
257,1,64,0.2882882882882883,1,28,0.12612612612612611
258,1,44,0.1981981981981982,1,8,0.036036036036036036
259,1,24,0.10810810810810811,0,-1,-1.0
260,1,4,0.018018018018018018,1,222,1.0
261,0,-1,-1.0,1,202,0.9099099099099099
262,1,218,0.9819819819819819,1,182,0.8198198198198198
263,1,198,0.8918918918918919,1,162,0.7297297297297297
264,1,178,0.8018018018018018,1,142,0.6396396396396397
265,1,158,0.7117117117117117,1,122,0.5495495495495496
266,1,138,0.6216216216216216,1,102,0.4594594594594595
267,1,118,0.5315315315315315,1,82,0.36936936936936937
268,1,98,0.44144144144144143,1,62,0.27927927927927926
269,1,78,0.35135135135135137,1,42,0.1891891891891892
270,1,58,0.26126126126126126,1,22,0.0990990990990991
271,1,38,0.17117117117117117,1,2,0.009009009009009009
272,1,18,0.08108108108108109,0,-1,-1.0
273,0,-1,-1.0,0,-1,-1.0
274,0,-1,-1.0,1,204,0.918918918918919
275,0,-1,-1.0,1,184,0.8288288288288288
276,1,78,0.35135135135135137,0,-1,-1.0
277,1,58,0.26126126126126126,0,-1,-1.0
278,1,38,0.17117117117117117,0,-1,-1.0
279,1,18,0.08108108108108109,1,222,1.0
280,0,-1,-1.0,1,202,0.9099099099099099
281,1,222,1.0,1,182,0.8198198198198198
282,1,202,0.9099099099099099,1,162,0.7297297297297297
283,1,182,0.8198198198198198,1,142,0.6396396396396397
284,1,162,0.7297297297297297,1,122,0.5495495495495496
285,1,142,0.6396396396396397,1,102,0.4594594594594595
286,1,122,0.5495495495495496,1,82,0.36936936936936937
287,1,102,0.4594594594594595,1,62,0.27927927927927926
288,1,82,0.36936936936936937,1,42,0.1891891891891892
289,1,62,0.27927927927927926,1,22,0.0990990990990991
290,1,42,0.1891891891891892,1,2,0.009009009009009009
291,1,22,0.0990990990990991,0,-1,-1.0
292,1,2,0.009009009009009009,0,-1,-1.0
293,0,-1,-1.0,1,212,0.954954954954955
294,0,-1,-1.0,1,192,0.8648648648648649
295,1,212,0.954954954954955,1,172,0.7747747747747747
296,1,192,0.8648648648648649,1,152,0.6846846846846847
297,1,172,0.7747747747747747,1,132,0.5945945945945946
298,1,152,0.6846846846846847,1,112,0.5045045045045045
299,1,132,0.5945945945945946,1,92,0.4144144144144144
300,1,112,0.5045045045045045,1,72,0.32432432432432434
301,1,92,0.4144144144144144,1,52,0.23423423423423423
302,1,72,0.32432432432432434,1,32,0.14414414414414414
303,1,52,0.23423423423423423,1,12,0.05405405405405406
304,1,32,0.14414414414414414,0,-1,-1.0
305,1,12,0.05405405405405406,0,-1,-1.0
306,0,-1,-1.0,0,-1,-1.0
307,0,-1,-1.0,0,-1,-1.0
308,0,-1,-1.0,0,-1,-1.0
309,0,-1,-1.0,0,-1,-1.0
310,0,-1,-1.0,0,-1,-1.0
311,0,-1,-1.0,1,204,0.918918918918919
312,1,48,0.21621621621621623,1,183,0.8243243243243243
313,1,28,0.12612612612612611,1,163,0.7342342342342343
314,1,8,0.036036036036036036,1,143,0.6441441441441441
315,1,148,0.6666666666666666,1,123,0.5540540540540541
316,1,128,0.5765765765765766,1,103,0.46396396396396394
317,1,108,0.4864864864864865,1,83,0.3738738738738739
318,1,88,0.3963963963963964,1,63,0.28378378378378377
319,1,68,0.3063063063063063,1,43,0.19369369369369369
320,1,48,0.21621621621621623,1,23,0.1036036036036036
321,1,28,0.12612612612612611,1,3,0.013513513513513514
322,1,8,0.036036036036036036,0,-1,-1.0
323,0,-1,-1.0,0,-1,-1.0
324,0,-1,-1.0,0,-1,-1.0
325,0,-1,-1.0,0,-1,-1.0
326,0,-1,-1.0,0,-1,-1.0
327,0,-1,-1.0,1,222,1.0
328,0,-1,-1.0,1,202,0.9099099099099099
329,1,207,0.9324324324324325,1,182,0.8198198198198198
330,1,187,0.8423423423423423,1,162,0.7297297297297297
331,1,167,0.7522522522522522,1,142,0.6396396396396397
332,1,147,0.6621621621621622,1,122,0.5495495495495496
333,1,127,0.5720720720720721,1,102,0.4594594594594595
334,1,107,0.481981981981982,1,82,0.36936936936936937
335,1,87,0.3918918918918919,1,62,0.27927927927927926
336,1,67,0.30180180180180183,1,42,0.1891891891891892
337,1,47,0.21171171171171171,1,22,0.0990990990990991
338,1,27,0.12162162162162163,1,2,0.009009009009009009
339,1,7,0.03153153153153153,1,216,0.972972972972973
340,1,26,0.11711711711711711,1,198,0.8918918918918919
341,1,6,0.02702702702702703,1,178,0.8018018018018018
342,1,172,0.7747747747747747,1,158,0.7117117117117117
343,1,152,0.6846846846846847,1,138,0.6216216216216216
344,1,132,0.5945945945945946,1,118,0.5315315315315315
345,1,112,0.5045045045045045,1,98,0.44144144144144143
346,1,92,0.4144144144144144,1,78,0.35135135135135137
347,1,72,0.32432432432432434,1,58,0.26126126126126126
348,1,52,0.23423423423423423,1,38,0.17117117117117117
349,1,32,0.14414414414414414,1,18,0.08108108108108109
350,1,12,0.05405405405405406,0,-1,-1.0
351,0,-1,-1.0,0,-1,-1.0
352,0,-1,-1.0,0,-1,-1.0
353,0,-1,-1.0,0,-1,-1.0
354,0,-1,-1.0,1,216,0.972972972972973
355,1,210,0.9459459459459459,1,196,0.8828828828828829
356,1,190,0.8558558558558559,1,176,0.7927927927927928
357,1,170,0.7657657657657657,1,156,0.7027027027027027
358,1,150,0.6756756756756757,1,136,0.6126126126126126
359,1,130,0.5855855855855856,1,116,0.5225225225225225
360,1,110,0.4954954954954955,1,96,0.43243243243243246
361,1,90,0.40540540540540543,1,76,0.34234234234234234
362,1,70,0.3153153153153153,1,56,0.25225225225225223
363,1,50,0.22522522522522523,1,36,0.16216216216216217
364,1,30,0.13513513513513514,1,16,0.07207207207207207
365,1,10,0.04504504504504504,1,204,0.918918918918919
366,1,198,0.8918918918918919,1,184,0.8288288288288288
367,1,178,0.8018018018018018,1,164,0.7387387387387387
368,1,158,0.7117117117117117,1,144,0.6486486486486487
369,1,138,0.6216216216216216,1,124,0.5585585585585585
370,1,118,0.5315315315315315,1,104,0.46846846846846846
371,1,98,0.44144144144144143,1,84,0.3783783783783784
372,1,78,0.35135135135135137,1,64,0.2882882882882883
373,1,58,0.26126126126126126,1,44,0.1981981981981982
374,1,38,0.17117117117117117,1,24,0.10810810810810811
375,1,18,0.08108108108108109,1,4,0.018018018018018018
376,0,-1,-1.0,0,-1,-1.0
377,0,-1,-1.0,0,-1,-1.0
378,0,-1,-1.0,1,218,0.9819819819819819
379,0,-1,-1.0,1,198,0.8918918918918919
380,1,58,0.26126126126126126,0,-1,-1.0
381,1,38,0.17117117117117117,0,-1,-1.0
382,1,18,0.08108108108108109,0,-1,-1.0
383,0,-1,-1.0,0,-1,-1.0
384,0,-1,-1.0,1,207,0.9324324324324325
385,1,217,0.9774774774774775,1,187,0.8423423423423423
386,1,197,0.8873873873873874,1,167,0.7522522522522522
387,1,177,0.7972972972972973,1,147,0.6621621621621622
388,1,157,0.7072072072072072,1,127,0.5720720720720721
389,1,137,0.6171171171171171,1,107,0.481981981981982
390,1,117,0.527027027027027,1,87,0.3918918918918919
391,1,97,0.4369369369369369,1,67,0.30180180180180183
392,1,77,0.34684684684684686,1,47,0.21171171171171171
393,1,57,0.25675675675675674,1,27,0.12162162162162163
394,1,37,0.16666666666666666,1,7,0.03153153153153153
395,1,17,0.07657657657657657,1,204,0.918918918918919
396,1,214,0.963963963963964,1,184,0.8288288288288288
397,1,194,0.8738738738738738,1,164,0.7387387387387387
398,1,174,0.7837837837837838,1,144,0.6486486486486487
399,1,154,0.6936936936936937,1,124,0.5585585585585585
400,1,134,0.6036036036036037,1,104,0.46846846846846846
401,1,114,0.5135135135135135,1,84,0.3783783783783784
402,1,94,0.42342342342342343,1,64,0.2882882882882883
403,1,74,0.3333333333333333,1,44,0.1981981981981982
404,1,54,0.24324324324324326,1,24,0.10810810810810811
405,1,34,0.15315315315315314,1,4,0.018018018018018018
406,1,14,0.06306306306306306,0,-1,-1.0
407,0,-1,-1.0,0,-1,-1.0
408,0,-1,-1.0,0,-1,-1.0
409,0,-1,-1.0,0,-1,-1.0
410,0,-1,-1.0,0,-1,-1.0
411,0,-1,-1.0,1,211,0.9504504504504504
412,0,-1,-1.0,1,191,0.8603603603603603
413,1,72,0.32432432432432434,0,-1,-1.0
414,1,52,0.23423423423423423,0,-1,-1.0
415,1,32,0.14414414414414414,0,-1,-1.0
416,1,12,0.05405405405405406,0,-1,-1.0
417,0,-1,-1.0,0,-1,-1.0
418,0,-1,-1.0,0,-1,-1.0
419,0,-1,-1.0,0,-1,-1.0
420,0,-1,-1.0,0,-1,-1.0
421,0,-1,-1.0,0,-1,-1.0
422,0,-1,-1.0,1,212,0.954954954954955
423,0,-1,-1.0,1,192,0.8648648648648649
424,1,209,0.9414414414414415,1,172,0.7747747747747747
425,1,189,0.8513513513513513,1,152,0.6846846846846847
426,1,169,0.7612612612612613,1,132,0.5945945945945946
427,1,149,0.6711711711711712,1,112,0.5045045045045045
428,1,129,0.581081081081081,1,92,0.4144144144144144
429,1,109,0.49099099099099097,1,72,0.32432432432432434
430,1,89,0.4009009009009009,1,52,0.23423423423423423
431,1,69,0.3108108108108108,1,32,0.14414414414414414
432,1,49,0.22072072072072071,1,12,0.05405405405405406
433,1,29,0.13063063063063063,1,159,0.7162162162162162
434,1,9,0.04054054054054054,1,139,0.6261261261261262
435,1,156,0.7027027027027027,1,119,0.536036036036036
436,1,136,0.6126126126126126,1,99,0.44594594594594594
437,1,116,0.5225225225225225,1,79,0.35585585585585583
438,1,96,0.43243243243243246,1,59,0.26576576576576577
439,1,76,0.34234234234234234,1,39,0.17567567567567569
440,1,56,0.25225225225225223,1,19,0.08558558558558559
441,1,36,0.16216216216216217,0,-1,-1.0
442,1,16,0.07207207207207207,0,-1,-1.0
443,0,-1,-1.0,1,222,1.0
444,0,-1,-1.0,1,202,0.9099099099099099
445,1,26,0.11711711711711711,1,181,0.8153153153153153
446,1,6,0.02702702702702703,1,161,0.7252252252252253
447,1,155,0.6981981981981982,1,141,0.6351351351351351
448,1,135,0.6081081081081081,1,121,0.545045045045045
449,1,115,0.5180180180180181,1,101,0.45495495495495497
450,1,95,0.42792792792792794,1,81,0.36486486486486486
451,1,75,0.33783783783783783,1,61,0.2747747747747748
452,1,55,0.24774774774774774,1,41,0.18468468468468469
453,1,35,0.15765765765765766,1,21,0.0945945945945946
454,1,15,0.06756756756756757,1,1,0.0045045045045045045
455,1,199,0.8963963963963963,1,185,0.8333333333333334
456,1,179,0.8063063063063063,1,165,0.7432432432432432
457,1,159,0.7162162162162162,1,145,0.6531531531531531
458,1,139,0.6261261261261262,1,125,0.5630630630630631
459,1,119,0.536036036036036,1,105,0.47297297297297297
460,1,99,0.44594594594594594,1,85,0.38288288288288286
461,1,79,0.35585585585585583,1,65,0.2927927927927928
462,1,59,0.26576576576576577,1,45,0.20270270270270271
463,1,39,0.17567567567567569,1,25,0.11261261261261261
464,1,19,0.08558558558558559,1,5,0.02252252252252252
465,0,-1,-1.0,1,222,1.0
466,1,72,0.32432432432432434,0,-1,-1.0
467,1,52,0.23423423423423423,0,-1,-1.0
468,1,32,0.14414414414414414,0,-1,-1.0
469,1,12,0.05405405405405406,0,-1,-1.0
470,0,-1,-1.0,1,221,0.9954954954954955
471,0,-1,-1.0,1,201,0.9054054054054054
472,1,218,0.9819819819819819,1,181,0.8153153153153153
473,1,198,0.8918918918918919,1,161,0.7252252252252253
474,1,178,0.8018018018018018,1,141,0.6351351351351351
475,1,158,0.7117117117117117,1,121,0.545045045045045
476,1,138,0.6216216216216216,1,101,0.45495495495495497
477,1,118,0.5315315315315315,1,81,0.36486486486486486
478,1,98,0.44144144144144143,1,61,0.2747747747747748
479,1,78,0.35135135135135137,1,41,0.18468468468468469
480,1,58,0.26126126126126126,1,21,0.0945945945945946
481,1,38,0.17117117117117117,1,1,0.0045045045045045045
482,1,18,0.08108108108108109,0,-1,-1.0
483,0,-1,-1.0,0,-1,-1.0
484,0,-1,-1.0,0,-1,-1.0
485,0,-1,-1.0,0,-1,-1.0
486,0,-1,-1.0,1,205,0.9234234234234234
487,1,222,1.0,1,185,0.8333333333333334
488,1,202,0.9099099099099099,1,165,0.7432432432432432
489,1,182,0.8198198198198198,1,145,0.6531531531531531
490,1,162,0.7297297297297297,1,125,0.5630630630630631
491,1,142,0.6396396396396397,1,105,0.47297297297297297
492,1,122,0.5495495495495496,1,85,0.38288288288288286
493,1,102,0.4594594594594595,1,65,0.2927927927927928
494,1,82,0.36936936936936937,1,45,0.20270270270270271
495,1,62,0.27927927927927926,1,25,0.11261261261261261
496,1,42,0.1891891891891892,1,5,0.02252252252252252
497,1,22,0.0990990990990991,0,-1,-1.0
498,1,2,0.009009009009009009,0,-1,-1.0
499,0,-1,-1.0,1,206,0.9279279279279279
500,1,22,0.0990990990990991,0,-1,-1.0
501,1,2,0.009009009009009009,0,-1,-1.0
502,0,-1,-1.0,0,-1,-1.0
503,0,-1,-1.0,0,-1,-1.0
504,0,-1,-1.0,0,-1,-1.0
505,0,-1,-1.0,0,-1,-1.0
506,0,-1,-1.0,1,213,0.9594594594594594
507,1,205,0.9234234234234234,1,193,0.8693693693693694
508,1,185,0.8333333333333334,1,173,0.7792792792792793
509,1,165,0.7432432432432432,1,153,0.6891891891891891
510,1,145,0.6531531531531531,1,133,0.5990990990990991
511,1,125,0.5630630630630631,1,113,0.509009009009009
512,1,105,0.47297297297297297,1,93,0.4189189189189189
513,1,85,0.38288288288288286,1,73,0.32882882882882886
514,1,65,0.2927927927927928,1,53,0.23873873873873874
515,1,45,0.20270270270270271,1,33,0.14864864864864866
516,1,25,0.11261261261261261,1,13,0.05855855855855856
517,1,5,0.02252252252252252,1,200,0.9009009009009009
518,1,192,0.8648648648648649,1,180,0.8108108108108109
519,1,172,0.7747747747747747,1,160,0.7207207207207207
520,1,152,0.6846846846846847,1,140,0.6306306306306306
521,1,132,0.5945945945945946,1,120,0.5405405405405406
522,1,112,0.5045045045045045,1,100,0.45045045045045046
523,1,92,0.4144144144144144,1,80,0.36036036036036034
524,1,72,0.32432432432432434,1,60,0.2702702702702703
525,1,52,0.23423423423423423,1,40,0.18018018018018017
